time,addr,bus,data
761.473148,209,0,0
761.473332,451,0,06670666ff100003
761.47348,170,0,2c032c030453fb00
761.473484,209,0,40007fff00ff00
761.473566,554,0,cc4c01
761.474008,453,0,2c032c03b25c
761.47439,209,0,8000bffe00fe00
761.475302,989,0,00000075320204b7
761.475322,201,0,8000000700001800
761.475566,417,0,4100000000
761.475632,485,0,5cffbd1000000264
761.475796,493,0,01a9000000003dc6
761.476044,532,2,41400113005000
761.477312,489,0,8000
761.477924,170,0,2c032c030253fc00
761.47799,562,2,2ed9292c
761.478164,190,0,02000005aa00
761.478188,489,0,8000
761.478374,201,0,8000000000001800
761.478562,562,2,2ed9292c
761.47862,241,0,280000400000
761.478652,199,0,0
761.478656,193,2,50010cd2900219a4
761.478826,493,0,01a9000000003dc6
761.478828,211,0,2c03
761.478978,390,0,04005d08000160
761.479064,193,0,70010cd2b00219a4
761.47933,560,0,0010310000001ffd
761.479908,481,0,4000114
761.48036,304,2,5fff900000001224
761.480452,489,0,8000
761.480892,539,2,000019000000005c
761.482484,761,0,708000007
761.48269,193,0,50010cd2900219a4
761.48282,454,0,349d349d00c32d89
761.482922,197,0,50010cd2900219a4
761.483076,532,0,020023ff241f
761.483236,562,0,200800120022
761.483298,542,2,c0000000010300
761.483308,192,2,ffb191b191
761.483504,192,2,55d1b1d1b1
761.484342,489,2,200000008
761.484528,539,2,000019000000105e
761.484578,568,0,72
761.484586,390,0,04005d08010160
761.48469,309,0,00000822aa12123b
761.48477,542,2,c0000000010300
761.484808,485,0,5cffbd50000002a4
761.485002,565,2,0000000020000ffe
761.485248,1003,2,40000000
761.48553,562,2,2ed9292c
761.48594,539,2,000019000000185f
761.486224,201,2,c667ff200000
761.486796,479,0,800200
761.487288,501,0,0f0f000100000800
761.4877,707,0,066706660000c900
761.487766,489,0,000c000e00000000
761.487938,977,0,014e800020000000
761.488184,979,0,800020005ffe49
761.488376,384,2,b0000000000000e0
761.488406,988,0,81000a000000
761.488616,1001,0,0
761.489856,840,0,0
761.48986,647,0,430000
761.489928,386,0,11fb010000000000
761.489978,560,2,200000000ffe
761.490012,707,0,066706660000c900
761.49025,977,0,014e800020000000
761.490496,979,0,800020003fff49
761.490576,197,0,70010cd2b00219a4
761.490606,532,2,014000d3005000
761.490722,988,0,81000a000000
761.490902,389,0,1be3
761.490932,1001,0,0
761.491354,528,0,060001fd
761.491432,193,2,50010cd2900219a4
761.491524,568,0,72
761.491636,711,0,033ff2b02000
761.491838,1280,0,303001f4
761.492008,201,2,c667ff200000
761.492498,170,0,2c032c030053fd00
761.492664,558,0,a000000000006a02
761.492736,190,0,0e000005abfd
761.492946,201,0,8000000d00001800
761.493204,493,0,01a9000000003dc6
761.493442,417,0,4100000000
761.493548,1928,0,0
761.493584,485,2,5cffbd70000002c4
761.493672,495,0,0
761.493844,419,0,0
761.493886,489,0,0008000e0fff0000
761.493978,456,0,03ff000000003c01
761.49401,426,0,8666697667000
761.494224,241,0,280000400000
761.494364,209,0,8000bffe00fe00
761.49443,451,0,06670666ff000000
761.49464,199,0,0
761.494692,452,0,6d62c073060003fd
761.49493,453,0,2c032c03b25c
761.495056,485,2,5cffbd50000002a4
761.495128,500,0,0
761.49517,489,2,200000008
761.495342,647,0,0
761.495496,452,0,0062c07300000000
761.495588,304,2,5fff900000001a2c
761.495684,328,0,0
761.49572,209,0,c000fffd00fd00
761.49583,193,0,70010cd2b00219a4
761.49583,320,2,f80000004fc70236
761.495946,389,0,1be3
761.496066,197,0,70010cd2b00219a4
761.496178,532,2,41400113005000
761.496238,197,0,60010cd2a00219a4
761.496568,384,2,f000000000000120
761.496594,1009,0,00c55108ffff0e6c
761.496816,530,2,860003fd0000c1f4
761.497062,539,2,000019000000085d
761.49714,189,0,01b814f1b800ff
761.497354,197,0,40010cd2800219a4
761.497376,508,2,fcb100980000c29c
761.497744,560,2,0
761.498488,485,0,5cffbc3000000283
761.498782,456,0,03ff000000003c01
761.498932,539,2,000019000000185f
761.499818,485,2,5cffbd1000000264
761.499856,532,0,060063fd6c35
761.499926,485,2,5cffbc70000002c3
761.501068,499,0,003c00
761.501124,453,0,2c032c03b25c
761.50132,568,0,72
761.501358,542,2,8000000000c300
761.501432,500,0,0
761.501588,565,2,0
761.501646,647,0,c10000
761.501802,707,0,066706660000c900
761.501806,489,2,200000008
761.501832,562,2,2ed9292c
761.50204,1017,0,000000005112873f
761.502282,1019,0,19
761.502418,1020,0,48101f6c6c206c6c
761.502746,454,0,349d349d00032d8c
761.502812,193,0,40010cd2800219a4
761.503046,197,0,40010cd2800219a4
761.503276,209,0,0
761.50343,368,2,8002000000560000
761.503456,532,2,c1400193005000
761.503678,537,2,042a507b00
761.504004,530,2,820003ff000041f4
761.504052,562,2,2ed9292c
761.5047,171,0,0
761.50557,481,0,4000114
761.505798,309,0,00000822aa121202
761.505864,390,0,04005d08000160
761.506088,453,0,2c032c03b25c
761.506284,866,0,0
761.506456,500,0,0
761.5065,304,2,1fff9000000011e4
761.506524,197,2,40010cd2800219a4
761.506598,171,0,0
761.506668,554,0,4e6403
761.506692,489,2,020000000c
761.506818,647,0,430000
761.50697,707,0,066706660000c900
761.506994,560,2,300000000ffd
761.507012,170,0,2c032c030253fc00
761.507082,192,2,00e1c1e1c1
761.507208,977,0,014e800020000000
761.50725,190,0,02000005aa00
761.507454,979,0,800020005ffe49
761.50746,201,0,8000000000001800
761.507676,988,0,81000a000000
761.507712,241,0,400000
761.507924,493,0,01a9000000003dc6
761.507934,1001,0,0
761.508162,193,0,50010cd2900219a4
761.508636,192,2,ffb191b191
761.508638,493,0,01a9000000003dc6
761.508876,419,0,0
761.508994,384,2,30
761.50931,485,2,5cffbd1000000264
761.510046,532,0,020023ff241f
761.510916,193,0,70010cd2b00219a4
761.510978,192,2,55d1b1d1b1
761.511072,989,0,00000075320204b0
761.511098,199,0,0
761.511118,539,2,000019000000085d
761.511292,211,0,2c03
761.511602,368,2,80a2000030540000
761.512924,201,2,c667ff200000
761.513066,560,2,200000000ffe
761.513166,456,0,43ff0000ffff3c00
761.513348,485,0,5cffbd3000000284
761.513408,209,0,c000fffd00fd00
761.513416,390,0,04005d08000160
761.513582,451,0,06670666ff100003
761.51453,170,0,2c032c030253fc00
761.514752,485,0,5cffbd50000002a4
761.514768,190,0,02000005aa00
761.51482,211,0,2c03
761.514978,201,0,8000000000001800
761.514986,451,0,06670666ff300001
761.515226,193,2,60010cd2a00219a4
761.515238,493,0,01a9000000003dc6
761.515368,426,0,8666697667000
761.515476,193,0,50010cd2900219a4
761.51555,969,0,706000000000000
761.515582,485,0,5cffbd50000002a4
761.516058,313,0,0
761.51636,568,2,1
761.516406,844,0,e173000003e30008
761.51654,489,2,200000008
761.517148,456,0,43ff0000ffff3c00
761.517224,532,2,014000d3005000
